ZoneName,areaBuilt,bathrooms,businessType,cityID,companyId,companyName,garages,latitude,longitude,propType,propID,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID,floor,numPictures,propAddress,timeMarket
Suroriente,171,4,venta,3,4745,PROCOMERCO,2,6.2169256,-75.56691,Casa,902-M2434102,Usado,0,0,3,570000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,177,3,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.2011585,-75.57,Casa,687-M2548718,Usado,3900000,3900000,3,680000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,177,4,venta,3,3003,MONOPOLIO INMOBILIARIO,2,6.1977983,-75.57367,Casa,2895-1958879,Usado,-1,0,3,695000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,179,4,venta,3,2669,PROINTEGRAL SA,0,6.2099667,-75.56895,Casa,687-M2678896,Usado,0,0,5,1150000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,180,3,venta,3,2669,PROINTEGRAL SA,3,6.208809,-75.54982,Casa,687-M2599594,Usado,0,0,3,700000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,180,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.212178,-75.57045,Casa,2895-M2321614,Usado,0,0,5,480000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,180,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.213564,-75.56988,Casa,2895-M2194044,Usado,0,0,4,390000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,182,3,venta,3,5440,CENTURY 21 RADIAL,2,6.2160907,-75.55536,Casa,11704-93964,Usado,0,0,3,1100000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,185,4,venta,3,2669,PROINTEGRAL SA,2,6.19143,-75.56543,Casa,687-M2267778,Usado,0,0,3,920000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,186,4,venta,3,2669,PROINTEGRAL SA,2,6.206735,-75.55605,Casa,687-M2500151,Usado,0,0,2,610000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,186,4,venta,3,3640,ALBERTO ALVAREZ,2,6.210042,-75.557686,Casa,4673-29905,Usado,-1,0,4,650000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,187,5,venta,3,2669,PROINTEGRAL SA,4,6.179652,-75.55905,Casa,687-M2445294,Usado,0,0,5,4500000000,Suroriente,5,38,-1,-1,-1,2
Suroriente,187,5,venta,3,5319,GRUGES INMOBILIARIO,2,6.208898,-75.55866,Casa,11318-3269853,Usado,0,0,4,750000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,190,4,venta,3,2669,PROINTEGRAL SA,2,6.1934085,-75.56717,Casa,687-M2214091,Usado,0,0,3,950000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,190,5,venta,3,3003,MONOPOLIO INMOBILIARIO,3,6.214164,-75.571915,Casa,2895-1335308,Usado,0,0,5,2425000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,190,5,venta,3,3003,MONOPOLIO INMOBILIARIO,3,6.214937,-75.55497,Casa,2895-1313373,Usado,-1,0,4,790000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,192,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.212996,-75.56987,Casa,2895-M2165462,Usado,0,0,4,370000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,193,5,venta,3,4455,JEDY STRATEGIES & CIA LTDA,3,6.2089586,-75.557175,Casa,597-M2613535,Usado,0,0,4,620000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,198,4,venta,3,2669,PROINTEGRAL SA,2,6.1914635,-75.555336,Casa,687-M2445567,Usado,0,0,3,870000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,200,3,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.186011,-75.58047,Casa,687-M2684201,Usado,3500000,3500000,4,770000000,Suroriente,6,38,-1,-1,-1,2
