;url;city;rooms;restrooms;stratum;agent;property_code_Metro2;neighborhood_common;neighborhood_official;price;parking_places;age;area_built;area_private;admin_price;description
57;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-castillo-3-habitaciones-5-banos/2264-AC-14764;Medellín;3;5;6.0;ACRECER SAS;2264-AC-14764;EL CAMPESTRE;EL CASTILLO;2000000000;0;Entre 10 y 20 años;388.0;1620.0;727000.0;CASA en venta en EL CAMPESTRE CASA ESPECTACULAR EN CONDOMINIO EXCLUSIVO TOTALMENTE REMODELADA.PISCINA PRIVADA con cercania a DRIVE INN EL CAMPESTRE Alcobas de Servicio 1 Banos 5 Banos de Servicio 1 Bibliotecas 1 Chimeneas 1 Circuito Cerrado de TV Come...
58;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-5-habitaciones-5-banos-3-garajes/11318-2737401;Medellín;5;5;6.0;GRUGES INMOBILIARIO;11318-2737401;El Poblado;EL TESORO;5000000000;3;Entre 0 y 5 años;700.0;1750.0;650000.0;Venta casa campestre, con acabados modernos,   excelente ubicación sector exclusivo El Tesoro, a dos minutos del centro comercial El Tesoro, cerca a entidades bancarias, religiosas, educativas, transporte cercano, sensacional vista panoramica. excelen...
59;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-laureles-5-habitaciones/11831-2912586;Medellín;5;5;;ROMA PROPIEDADES SAS;11831-2912586;LAS ACACIAS;LAURELES;3600000000;0;Entre 5 y 10 años;630.0;630.0;;Hotel ubicado en excelente punto del barrio laureles Santa teresita de Medellín. Cuenta con dos  locales en el primer piso, con un restaurente. Además, cuenta con 10 apartaestudios, con baño, cocina, nevera,  lavadora y Smart TV, unas  cuentan con bal...
60;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-velodromo-4-habitaciones-5-banos-2-garajes/12133-1194;Medellín;4;5;5.0;Rentaraiz sas ;12133-1194;El Poblado - San Lucas;EL VELODROMO;1080000000;2;Entre 5 y 10 años;244.0;244.0;623000.0;ESPECTACULAR CASA CON ACABADOS MODERNOS UBICADA EN UN EXCLUSIVO CONJUNTO RESIDENCIAL A SOLO 2 MINUTOS DE LA SUPERIOR  EL POBLADO. Puntos de referencia  a 4 minutos del mall San Lucas, cerca de, bancos, restaurantes, supermercados, centros comerciales,...
61;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-laureles-5-habitaciones-2-banos/848-1036;Medellín;5;2;5.0;DC INMOBILIARIAS SAS;848-1036;Laureles;LAURELES;426064500;0;Entre 5 y 10 años;125.7;125.7;;ochocientos quincemil treinta y seis D.C Colombia S.A.S vende casa adecuada para uso industrial, ubicada en el barrio Laureles de la ciudad de Medellin. El inmueble se encuentra distribuido de la siguiente manera en el primer piso cuenta con dos sala ...
62;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-5-habitaciones-5-banos-3-garajes/687-1419295;Medellín;5;5;6.0;PROINTEGRAL SA;687-1419295;Poblado;EL POBLADO;2400000000;3;Entre 10 y 20 años;698.0;698.0;800000.0;Casa para venta o arriendo en unidad cerrada. Cuenta con cuatro niveles, piso en marmol, 5 alcobas mas la del servicio, baño en cada alcoba, vestier y jacuzzi en la principal. Hall de acceso, puerta de seguridad, chimenea en la sala, comedor independi...
63;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-cristo-rey-4-habitaciones-2-banos/4855-9470;Medellín;4;2;3.0;URIVENTAS S.A.S;4855-9470;Guayabal;CRISTO REY;350000000;0;Entre 10 y 20 años;145.0;145.0;;Segundo piso de tres.  Sala, comedor, cuatro alcobas, salon biblioteca, dos patios, dos banos, piso ceramica
64;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-rosales-3-habitaciones-4-banos-1-garajes/11831-2903483;Medellín;3;4;4.0;ROMA PROPIEDADES SAS;11831-2903483;ROSALES;ROSALES;890000000;1;Más de 20 años;232.0;232.0;;Casa Belen. Cuenta con 3 habitaciones + servicio, sala de star y 4 patios.  Alta Mixtura  Densidad max V H 350  IC max 2,7    Poligono Z6 CN1 23  Sobre vía principal  Se recibe uno o dos apartamentos en una propiedad distinta y 200 millones en efectiv...
65;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-floresta-4-habitaciones-2-banos/277-1652982;Medellín;4;2;4.0;Inmobiliaria Alfa Finca Raiz;277-1652982;Occidente,La Floresta;LA FLORESTA;280000000;0;Más de 20 años;90.0;90.0;;Casa tercer piso en venta sector floresta, 90 metros cuadrados, no cuenta con garaje, tres habitaciones, dos baños, estudio, sala comedor, balcón, cocina integral, zona de ropas, excelente ubicación y acceso.
66;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-america-5-habitaciones-4-banos-1-garajes/4855-8322;Medellín;5;4;4.0;URIVENTAS S.A.S;4855-8322;La America;LA AMERICA;730000000;1;Entre 10 y 20 años;287.65;287.65;;casa primer piso, propiedad horizontal propia para vivienda o negocio, residencia estudiantil o hogar geriatrico, cerca ala iglesia de la america  y avenida san juan
